rms,score
4.195,16.709
6.573,16.713
5.137,16.715
5.760,16.719
4.856,16.723
6.827,16.729
6.602,16.731
5.878,16.733
6.008,16.734
6.452,16.735
6.122,16.738
5.409,16.742
5.570,16.742
4.760,16.747
6.107,16.748
6.068,16.749
6.950,16.758
6.286,16.759
4.891,16.761
6.549,16.764
5.100,16.766
6.583,16.772
6.777,16.777
5.774,16.778
6.451,16.786
4.994,16.790
5.613,16.791
4.573,16.792
5.775,16.794
5.528,16.796
6.159,16.803
5.025,16.804
5.503,16.805
6.140,16.806
5.718,16.816
6.802,16.817
5.972,16.825
4.809,16.829
6.146,16.830
4.743,16.832
2.494,16.833
6.604,16.834
5.101,16.837
4.888,16.841
5.982,16.842
6.863,16.843
5.966,16.847
5.892,16.852
6.748,16.853
5.824,16.854
2.964,16.856
5.118,16.858
6.992,16.858
4.280,16.861
5.505,16.869
6.059,16.870
6.395,16.872
6.637,16.877
5.677,16.880
4.917,16.881
6.709,16.882
6.077,16.882
5.211,16.883
7.118,16.884
6.906,16.884
6.922,16.885
5.967,16.888
4.356,16.888
5.653,16.889
5.389,16.901
3.685,16.901
5.298,16.905
7.171,16.906
5.196,16.907
4.207,16.907
5.659,16.909
6.312,16.910
3.324,16.910
6.463,16.911
6.838,16.911
6.167,16.913
5.746,16.922
3.900,16.926
5.541,16.931
5.608,16.934
3.845,16.935
6.549,16.937
4.893,16.941
4.843,16.942
5.557,16.946
5.613,16.950
5.490,16.954
4.934,16.956
6.099,16.956
6.630,16.957
6.681,16.958
6.856,16.958
3.538,16.959
6.396,16.966
6.434,16.967
6.913,16.967
3.473,16.969
3.788,16.970
5.206,16.970
3.447,16.972
5.718,16.974
5.081,16.978
4.654,16.980
2.882,16.983
5.963,16.985
5.556,16.985
5.025,16.986
4.851,16.987
3.693,16.992
5.174,16.994
5.306,16.995
3.168,16.996
4.808,17.000
5.362,17.002
6.714,17.003
5.960,17.007
2.500,17.009
5.943,17.015
5.154,17.015
5.415,17.019
4.564,17.021
4.957,17.021
6.268,17.028
4.988,17.028
5.314,17.031
6.501,17.032
5.599,17.036
5.504,17.037
5.988,17.040
6.754,17.042
6.293,17.045
3.132,17.045
6.203,17.056
3.938,17.058
3.040,17.062
5.092,17.063
5.203,17.063
5.337,17.074
6.191,17.079
6.736,17.082
3.179,17.085
4.699,17.086
5.758,17.087
5.837,17.101
5.493,17.105
6.738,17.109
6.845,17.112
4.756,17.115
5.848,17.116
5.430,17.116
6.116,17.122
6.567,17.122
3.827,17.124
6.057,17.125
3.842,17.125
5.387,17.125
6.157,17.128
4.678,17.136
5.055,17.139
6.917,17.140
6.146,17.142
6.358,17.146
6.642,17.147
6.924,17.148
6.453,17.148
6.128,17.148
5.783,17.150
5.928,17.154
4.685,17.154
6.636,17.156
5.549,17.159
3.566,17.161
5.296,17.162
3.118,17.163
6.911,17.173
6.374,17.177
6.301,17.177
4.776,17.180
5.443,17.181
6.414,17.183
3.465,17.183
5.464,17.183
5.999,17.188
5.191,17.189
6.173,17.194
6.129,17.194
6.932,17.194
5.299,17.194
5.026,17.195
5.872,17.195
4.696,17.196
6.476,17.196
4.777,17.198
6.257,17.200
2.707,17.208
6.593,17.214
5.848,17.216
5.155,17.217
5.284,17.218
3.604,17.221
6.175,17.222
6.050,17.223
5.806,17.224
4.402,17.226
5.318,17.227
6.020,17.230
6.265,17.232
4.711,17.233
5.075,17.233
5.710,17.233
6.095,17.235
5.902,17.237
5.239,17.240
5.472,17.240
3.875,17.246
6.583,17.247
6.873,17.249
6.599,17.250
3.355,17.251
5.880,17.256
6.056,17.259
6.505,17.259
4.821,17.260
5.838,17.263
3.056,17.263
2.606,17.263
6.264,17.267
3.610,17.269
6.470,17.269
5.336,17.272
6.008,17.272
6.822,17.273
6.503,17.274
5.981,17.275
5.343,17.277
6.470,17.278
5.731,17.278
5.399,17.279
4.557,17.279
5.295,17.287
4.289,17.288
5.654,17.290
6.070,17.294
4.585,17.295
7.235,17.298
6.241,17.299
6.760,17.301
5.514,17.301
5.838,17.302
4.418,17.304
6.822,17.305
6.384,17.306
6.060,17.309
5.940,17.313
5.949,17.318
4.525,17.319
5.637,17.321
6.322,17.321
4.608,17.326
5.922,17.329
3.014,17.331
5.714,17.331
4.676,17.333
6.448,17.335
4.623,17.339
5.757,17.340
7.260,17.341
2.857,17.343
3.895,17.347
6.077,17.348
6.077,17.353
5.875,17.353
2.298,17.354
4.471,17.357
6.336,17.359
6.892,17.362
3.534,17.363
4.954,17.365
6.760,17.368
6.443,17.371
5.542,17.373
5.083,17.373
4.431,17.376
5.539,17.377
6.187,17.377
7.244,17.378
5.828,17.380
6.774,17.383
5.569,17.384
5.338,17.384
5.522,17.385
6.797,17.385
7.007,17.385
6.312,17.386
4.390,17.387
5.542,17.388
4.152,17.398
5.749,17.401
3.952,17.402
4.883,17.402
6.157,17.405
6.007,17.405
7.333,17.405
3.266,17.406
6.184,17.407
5.778,17.409
5.823,17.410
6.749,17.411
6.143,17.420
5.693,17.421
4.770,17.422
5.725,17.422
5.025,17.423
5.934,17.423
3.188,17.431
4.955,17.435
5.717,17.436
6.207,17.436
6.056,17.439
5.837,17.441
5.207,17.442
5.474,17.445
6.915,17.447
4.204,17.447
5.308,17.449
6.628,17.449
5.675,17.453
6.435,17.453
5.359,17.453
6.712,17.454
3.966,17.456
6.860,17.460
4.311,17.460
6.934,17.460
5.747,17.461
6.238,17.462
5.814,17.465
6.300,17.468
4.931,17.471
4.270,17.471
4.774,17.472
5.760,17.473
5.945,17.474
6.685,17.476
5.955,17.476
5.567,17.477
5.062,17.478
5.862,17.479
5.421,17.481
5.388,17.483
5.172,17.486
3.446,17.489
6.413,17.489
4.072,17.490
3.347,17.491
6.226,17.492
5.861,17.494
6.335,17.496
6.098,17.500
3.064,17.501
2.853,17.502
5.248,17.506
5.155,17.507
5.154,17.508
4.486,17.508
6.337,17.510
5.796,17.510
6.624,17.511
6.200,17.512
4.383,17.513
7.034,17.521
6.128,17.522
6.521,17.523
6.199,17.523
5.884,17.523
3.262,17.525
4.923,17.525
5.092,17.526
5.420,17.527
6.175,17.527
6.656,17.527
7.056,17.530
6.231,17.530
4.895,17.530
5.344,17.530
5.285,17.538
5.980,17.539
4.737,17.540
6.118,17.543
5.133,17.544
4.843,17.547
6.979,17.548
6.668,17.549
5.448,17.549
5.823,17.551
2.849,17.552
5.604,17.556
5.830,17.557
5.962,17.557
6.011,17.558
3.476,17.561
5.193,17.562
5.677,17.563
3.730,17.564
6.436,17.567
5.750,17.567
6.664,17.568
5.109,17.568
4.920,17.569
5.161,17.574
5.031,17.574
6.077,17.576
6.837,17.579
5.428,17.584
4.217,17.585
6.105,17.587
5.911,17.587
6.435,17.589
5.798,17.589
4.086,17.589
5.074,17.590
6.579,17.591
4.986,17.592
5.379,17.597
3.799,17.597
5.516,17.598
4.767,17.600
6.295,17.601
6.090,17.602
4.621,17.606
6.217,17.617
5.041,17.618
6.308,17.619
5.857,17.619
5.594,17.619
5.973,17.620
5.096,17.620
6.279,17.622
6.512,17.622
6.650,17.628
6.532,17.629
6.492,17.630
6.592,17.631
5.982,17.633
6.236,17.633
6.025,17.637
5.045,17.638
4.963,17.646
5.853,17.647
6.146,17.647
7.034,17.648
4.987,17.650
5.915,17.653
4.844,17.654
6.301,17.655
5.620,17.656
3.378,17.656
5.963,17.658
6.609,17.660
4.686,17.667
3.786,17.676
6.419,17.677
5.916,17.678
5.611,17.680
3.647,17.680
5.443,17.680
5.750,17.681
6.303,17.683
6.463,17.683
5.946,17.685
4.616,17.685
5.129,17.686
6.318,17.687
7.011,17.689
6.007,17.690
7.133,17.692
5.931,17.692
5.668,17.694
6.882,17.694
3.320,17.694
5.227,17.694
3.072,17.695
5.113,17.695
4.885,17.698
5.523,17.699
5.535,17.699
4.354,17.705
6.065,17.706
5.869,17.706
5.848,17.707
5.472,17.707
6.391,17.709
4.459,17.709
5.844,17.710
5.988,17.711
4.841,17.711
3.997,17.713
5.903,17.714
6.670,17.714
6.987,17.716
5.467,17.717
5.373,17.720
6.920,17.720
5.713,17.723
4.714,17.724
5.411,17.729
6.220,17.729
4.710,17.729
5.534,17.730
6.320,17.731
6.221,17.733
5.951,17.734
5.162,17.735
6.504,17.736
5.188,17.737
5.704,17.740
5.700,17.741
5.218,17.741
3.543,17.744
6.834,17.748
5.475,17.748
5.147,17.750
4.869,17.750
6.694,17.751
5.466,17.751
6.511,17.752
4.950,17.753
6.547,17.754
5.089,17.754
5.406,17.759
6.446,17.762
4.056,17.766
6.004,17.767
6.258,17.767
6.604,17.768
3.992,17.769
6.748,17.771
5.971,17.773
4.882,17.776
6.805,17.780
3.085,17.780
5.426,17.781
4.517,17.781
5.717,17.786
5.810,17.787
5.568,17.790
4.921,17.791
6.283,17.796
4.009,17.801
6.080,17.801
5.021,17.802
5.801,17.802
4.831,17.804
6.426,17.807
6.383,17.808
5.416,17.812
5.418,17.813
5.613,17.814
5.616,17.815
6.795,17.815
4.928,17.819
5.379,17.819
6.424,17.820
4.568,17.821
4.698,17.824
7.119,17.824
5.770,17.824
5.032,17.825
5.383,17.832
5.605,17.833
4.742,17.838
6.502,17.839
3.664,17.841
6.155,17.842
5.422,17.844
5.903,17.846
6.324,17.846
6.659,17.847
5.526,17.847
6.729,17.850
5.536,17.858
5.560,17.861
5.096,17.865
6.446,17.867
4.940,17.871
3.666,17.871
5.728,17.873
7.127,17.876
4.171,17.877
5.832,17.877
5.986,17.878
5.113,17.878
6.276,17.880
6.445,17.880
3.086,17.880
4.643,17.882
5.684,17.885
5.948,17.886
5.884,17.886
4.383,17.889
7.264,17.890
4.131,17.890
5.190,17.893
7.384,17.895
6.617,17.898
5.819,17.900
5.837,17.902
3.376,17.904
4.827,17.906
3.173,17.906
4.610,17.907
4.896,17.908
6.213,17.910
5.134,17.910
3.369,17.912
4.266,17.916
4.436,17.917
6.723,17.918
4.847,17.919
6.249,17.921
5.796,17.923
4.746,17.929
6.427,17.930
5.599,17.932
4.613,17.937
6.586,17.938
3.711,17.943
5.058,17.943
3.254,17.944
5.314,17.945
5.821,17.945
5.905,17.946
3.938,17.947
4.712,17.948
3.702,17.948
6.098,17.949
2.796,17.949
6.037,17.950
5.034,17.951
5.095,17.953
6.807,17.957
5.936,17.958
5.058,17.961
6.555,17.963
5.568,17.965
6.496,17.970
6.486,17.973
6.009,17.974
5.895,17.975
5.311,17.976
6.103,17.978
4.152,17.978
5.757,17.978
3.509,17.979
6.294,17.981
6.473,17.982
5.811,17.983
6.843,17.986
6.679,17.988
6.553,17.990
5.282,17.994
4.439,18.000
5.993,18.001
5.422,18.002
5.607,18.003
3.598,18.003
5.868,18.005
3.717,18.005
5.838,18.006
5.758,18.009
6.077,18.011
6.521,18.012
4.643,18.015
6.378,18.016
5.591,18.016
5.988,18.020
5.989,18.022
6.498,18.025
3.185,18.027
7.172,18.029
5.355,18.029
6.062,18.031
5.758,18.031
4.590,18.033
5.971,18.035
3.878,18.037
6.053,18.037
6.491,18.037
4.611,18.039
6.405,18.041
3.117,18.042
6.459,18.043
6.871,18.043
5.845,18.044
6.140,18.045
4.665,18.045
6.796,18.045
7.096,18.046
5.741,18.049
3.436,18.049
5.866,18.051
5.020,18.052
5.997,18.054
6.802,18.055
3.272,18.056
6.482,18.057
6.273,18.058
6.561,18.059
6.266,18.061
4.532,18.063
6.828,18.068
5.208,18.069
5.813,18.076
3.623,18.080
5.544,18.081
4.466,18.081
6.562,18.081
6.788,18.084
5.681,18.085
3.727,18.085
7.000,18.087
6.422,18.089
6.091,18.089
5.971,18.089
6.874,18.090
5.863,18.093
6.722,18.095
5.886,18.095
6.367,18.096
5.760,18.097
5.979,18.097
5.657,18.099
6.076,18.099
3.718,18.101
3.229,18.101
4.461,18.101
6.069,18.103
5.146,18.104
5.394,18.104
3.891,18.106
4.991,18.109
5.008,18.109
6.149,18.110
5.981,18.112
2.205,18.115
6.798,18.115
5.481,18.116
5.739,18.119
3.695,18.120
4.910,18.121
5.345,18.124
6.170,18.124
5.276,18.128
5.178,18.129
5.085,18.131
4.678,18.131
2.482,18.134
5.118,18.136
6.052,18.137
5.946,18.137
5.153,18.140
5.057,18.141
4.544,18.145
6.281,18.145
6.395,18.145
6.493,18.148
6.064,18.149
5.759,18.149
6.288,18.149
3.465,18.152
6.607,18.154
6.663,18.158
5.052,18.161
4.952,18.162
3.680,18.163
5.412,18.163
3.342,18.165
5.124,18.166
6.178,18.166
5.233,18.166
5.544,18.167
4.945,18.168
6.625,18.169
6.581,18.170
6.730,18.174
6.234,18.174
3.823,18.176
5.202,18.177
7.235,18.178
4.593,18.178
3.167,18.178
6.624,18.181
6.434,18.181
6.447,18.182
6.655,18.183
5.312,18.184
3.642,18.185
3.228,18.186
4.449,18.190
5.050,18.192
6.153,18.192
4.731,18.193
4.418,18.193
6.461,18.194
4.945,18.196
3.426,18.198
6.775,18.198
6.623,18.200
5.781,18.202
5.761,18.204
2.996,18.204
4.522,18.206
4.575,18.207
2.746,18.209
5.248,18.210
6.239,18.210
5.734,18.211
7.175,18.214
6.245,18.215
6.877,18.215
5.308,18.215
6.639,18.216
5.551,18.216
5.240,18.217
5.703,18.218
6.878,18.222
6.628,18.223
6.655,18.225
4.246,18.228
4.873,18.228
6.200,18.232
6.032,18.235
3.236,18.235
5.732,18.236
3.865,18.239
5.690,18.240
7.221,18.241
7.033,18.245
6.188,18.246
3.922,18.246
6.547,18.246
5.848,18.246
5.893,18.247
5.846,18.249
6.209,18.255
5.748,18.256
4.925,18.257
4.744,18.259
6.095,18.259
6.308,18.266
6.921,18.267
6.305,18.269
5.723,18.269
6.092,18.270
4.827,18.272
5.605,18.272
3.704,18.272
5.070,18.273
6.015,18.274
6.607,18.274
3.439,18.276
6.536,18.276
5.994,18.276
3.815,18.277
5.930,18.277
5.315,18.278
6.042,18.278
6.787,18.282
5.767,18.283
5.397,18.284
6.549,18.284
5.560,18.284
6.138,18.288
6.552,18.289
5.877,18.290
5.709,18.291
6.103,18.292
5.435,18.292
6.194,18.293
6.307,18.295
4.231,18.296
6.597,18.298
6.929,18.299
6.204,18.301
3.543,18.302
4.817,18.302
4.786,18.303
5.136,18.305
6.021,18.305
6.255,18.305
6.720,18.305
6.811,18.306
3.244,18.307
6.033,18.307
5.337,18.308
5.162,18.321
6.841,18.321
6.158,18.321
6.289,18.322
5.562,18.326
6.522,18.327
6.423,18.330
5.788,18.331
4.045,18.332
5.919,18.332
4.902,18.332
5.286,18.332
2.899,18.332
5.705,18.333
6.122,18.335
5.707,18.335
6.611,18.336
6.037,18.336
6.822,18.337
5.954,18.339
7.041,18.341
6.101,18.343
4.741,18.345
4.478,18.345
4.262,18.346
6.576,18.347
5.790,18.347
2.993,18.349
5.039,18.349
3.291,18.350
6.144,18.351
6.356,18.352
4.150,18.357
3.965,18.358
4.688,18.362
6.997,18.362
3.363,18.363
4.075,18.364
3.304,18.364
6.266,18.368
6.377,18.368
6.399,18.369
6.457,18.372
5.524,18.374
6.587,18.375
5.739,18.377
6.373,18.378
5.017,18.379
5.338,18.379
5.576,18.379
6.155,18.380
6.002,18.381
5.943,18.381
5.965,18.382
6.402,18.382
2.866,18.384
5.846,18.385
6.277,18.390
6.991,18.390
5.363,18.391
7.022,18.391
4.926,18.391
3.876,18.392
4.456,18.396
4.086,18.397
5.426,18.397
6.050,18.397
6.083,18.398
3.971,18.400
5.945,18.401
6.191,18.401
5.878,18.403
4.944,18.403
5.315,18.404
6.817,18.405
5.532,18.405
4.518,18.406
6.584,18.406
5.311,18.407
5.217,18.410
5.655,18.410
6.423,18.412
5.917,18.419
3.409,18.421
6.814,18.426
3.223,18.428
3.444,18.429
4.358,18.429
3.728,18.431
4.859,18.431
4.082,18.432
5.768,18.433
5.164,18.434
2.724,18.434
6.660,18.435
5.414,18.435
6.346,18.436
5.719,18.440
4.275,18.440
5.569,18.441
4.648,18.441
6.495,18.443
4.718,18.443
3.517,18.445
3.632,18.445
6.004,18.446
6.281,18.448
3.479,18.449
5.011,18.451
6.063,18.454
6.834,18.456
5.930,18.458
5.225,18.459
5.880,18.459
7.160,18.460
6.190,18.461
6.058,18.466
6.518,18.467
6.107,18.467
5.093,18.470
5.619,18.470
4.614,18.471
5.804,18.473
6.487,18.473
5.694,18.474
4.797,18.474
7.192,18.475
3.422,18.476
6.044,18.478
4.999,18.478
2.928,18.479
6.051,18.479
5.736,18.482
6.919,18.483
6.853,18.484
4.698,18.485
4.941,18.486
3.643,18.490
5.397,18.491
5.667,18.491
5.603,18.492
3.468,18.493
5.072,18.493
5.581,18.494
6.135,18.495
5.815,18.497
4.815,18.499
5.536,18.500
5.880,18.501
4.947,18.502
5.594,18.503
6.112,18.505
4.841,18.506
3.580,18.508
3.231,18.510
5.992,18.513
6.090,18.516
5.823,18.517
6.142,18.517
6.198,18.517
6.338,18.517
6.752,18.519
4.981,18.520
6.044,18.520
6.092,18.521
3.354,18.522
5.584,18.522
5.803,18.526
5.007,18.526
3.374,18.528
3.520,18.528
3.294,18.529
5.509,18.531
4.661,18.533
2.387,18.534
3.541,18.535
5.739,18.535
5.980,18.537
6.920,18.539
4.066,18.539
3.020,18.539
6.190,18.540
6.125,18.544
5.082,18.544
6.200,18.545
2.390,18.549
6.140,18.550
6.097,18.552
6.903,18.554
4.512,18.555
6.439,18.556
3.211,18.558
6.893,18.559
3.781,18.560
4.172,18.560
6.381,18.562
5.105,18.567
5.837,18.570
6.226,18.573
5.826,18.574
5.807,18.574
5.688,18.575
6.773,18.577
4.384,18.577
3.892,18.579
5.579,18.579
6.064,18.580
4.577,18.580
3.695,18.580
7.002,18.581
6.296,18.581
4.193,18.581
5.945,18.581
7.208,18.581
4.362,18.582
6.715,18.585
3.022,18.588
6.421,18.588
4.772,18.589
4.900,18.590
3.218,18.593
6.830,18.596
6.028,18.599
6.471,18.600
2.849,18.600
5.903,18.602
2.901,18.602
4.733,18.603
3.588,18.605
5.798,18.605
5.534,18.606
6.179,18.607
6.099,18.609
3.599,18.612
4.810,18.612
6.599,18.613
5.802,18.614
3.270,18.619
6.093,18.621
5.724,18.622
5.373,18.623
5.446,18.626
5.334,18.629
6.225,18.629
3.611,18.629
5.575,18.630
5.676,18.630
5.960,18.633
3.933,18.634
4.011,18.634
5.212,18.635
3.942,18.635
3.659,18.635
5.141,18.637
3.893,18.638
3.178,18.638
5.685,18.638
6.033,18.638
4.748,18.639
5.989,18.639
3.302,18.640
4.520,18.642
4.393,18.642
6.138,18.642
6.317,18.642
6.418,18.644
6.458,18.645
5.875,18.647
7.135,18.648
5.525,18.650
3.766,18.652
6.086,18.653
5.488,18.655
5.609,18.656
3.733,18.657
3.235,18.660
6.282,18.661
6.324,18.662
6.030,18.663
6.268,18.668
6.701,18.668
4.271,18.669
5.353,18.670
6.042,18.670
5.646,18.670
5.849,18.671
5.316,18.671
6.307,18.672
6.138,18.674
5.903,18.676
4.956,18.677
5.553,18.678
4.658,18.680
6.590,18.681
6.022,18.682
5.823,18.682
6.680,18.683
4.442,18.684
6.777,18.685
3.997,18.687
5.882,18.688
5.467,18.688
5.398,18.690
6.209,18.690
5.979,18.690
3.918,18.691
5.291,18.692
5.184,18.692
5.259,18.692
6.058,18.693
5.621,18.693
5.233,18.693
5.727,18.694
7.022,18.696
4.089,18.696
3.226,18.696
3.845,18.697
6.201,18.698
6.203,18.701
5.580,18.702
5.034,18.703
4.636,18.704
6.151,18.704
3.632,18.705
5.028,18.705
5.299,18.705
6.721,18.706
5.574,18.706
6.989,18.708
6.243,18.708
5.670,18.708
4.522,18.709
5.640,18.712
6.826,18.712
4.331,18.713
5.700,18.714
5.113,18.714
6.416,18.716
4.856,18.717
5.269,18.717
5.563,18.718
6.111,18.719
5.210,18.720
5.940,18.722
5.561,18.724
5.184,18.724
7.120,18.724
4.374,18.725
4.815,18.725
6.693,18.726
5.276,18.727
4.966,18.729
5.712,18.730
7.049,18.731
6.816,18.731
3.577,18.731
5.978,18.731
4.777,18.733
3.785,18.734
4.791,18.737
3.815,18.737
2.947,18.738
5.482,18.739
5.490,18.740
5.921,18.742
5.025,18.742
5.686,18.743
6.127,18.744
3.835,18.744
6.274,18.744
6.032,18.745
6.567,18.748
6.869,18.754
6.866,18.755
6.695,18.756
6.442,18.761
6.749,18.761
4.379,18.764
3.884,18.765
6.540,18.768
5.929,18.769
5.281,18.769
5.496,18.770
5.388,18.770
6.881,18.773
4.977,18.773
5.937,18.775
5.003,18.776
6.149,18.778
5.842,18.778
4.398,18.778
6.093,18.782
6.192,18.784
6.186,18.787
5.583,18.787
6.541,18.788
3.973,18.789
4.787,18.790
2.875,18.791
4.977,18.791
5.619,18.793
4.491,18.795
3.712,18.796
4.801,18.799
4.565,18.799
3.785,18.800
6.736,18.800
4.570,18.802
5.807,18.803
6.327,18.804
5.966,18.804
7.217,18.805
5.643,18.805
4.877,18.805
5.508,18.807
5.492,18.807
4.914,18.808
